Type,Region,City,FacilityName,Use,Owner,OwnerCity,OwnerZIP,Manager
AIRPORT,ANCHORAGE,ANCHORAGE,TED STEVENS ANCHORAGE INTL,PUBLIC,STATE OF ALASKA DOT&PF,ANCHORAGE,99519.0,JOHN PARROTT
AIRPORT,KODIAK ISLAND,BIG MOUNTAIN,BIG MOUNTAIN,PRIVATE,US AIR FORCE,ELMENDORF AFB,99506.0,JOHN SMITH
AIRPORT,KUSKOKWIM,BEAR CREEK,BEAR CREEK 3,PUBLIC,PUBLIC DOMAIN,,,
SEAPLANE BASE,MATANUSKA-SUSITNA,BIG LAKE,KUCERA,PRIVATE,GRACE WHEDBEE,BIG LAKE,99652.0,GRACE WHEDBEE
SEAPLANE BASE,KODIAK ISLAND,AMOOK BAY,AMOOK BAY,PRIVATE,MIKE MUNSEY,KODIAK,99615.0,MIKE MUNSEY
AIRPORT,MATANUSKA-SUSITNA,BIG LAKE,TWIN LAKE,PRIVATE,EDMUND MONT MAHONEY,ANCHORAGE,99519.0,EDMUND MONT MAHONEY
SEAPLANE BASE,KUSKOKWIM,ANVIK,ANVIK,PUBLIC,PUBLIC DOMAIN,,,
AIRPORT,NORTH SLOPE,ATQASUK,ATQASUK EDWARD BURNELL SR MEMORIAL,PUBLIC,NORTH SLOPE BOROUGH,BARROW,99723.0,TOM D. NICOLOS
AIRPORT,UPPER YUKON,BOUNDARY,BOUNDARY,PUBLIC,ALASKA DOT&PF NORTHERN REGION,FAIRBANKS,99709.0,DENNIS BISHOP
HELIPORT,ANCHORAGE,ANCHORAGE,ELMENDORF HOSPITAL,PRIVATE,US AIR FORCE,ELMENDORF AFB,99506.0,AIRFIELD MANAGER
HELIPORT,WRANGELL-PETERSBURG,CAPE DECISION,CAPE DECISION LIGHTHOUSE,PRIVATE,CAPE DECISION LIGHTHOUSE SOCIETY,SITKA,99835.0,CAPE DECISION LIGHTHOUSE SOCIETY
AIRPORT,ALEUTIAN ISLANDS,ATKA,ATKA,PUBLIC,ALASKA DOT&PF SOUTHCOAST REGION,JUNEAU,99811.0,DALE RUCKMAN
AIRPORT,UPPER YUKON,BEAVER,BEAVER,PUBLIC,ALASKA DOT&PF NORTHERN REGION,FAIRBANKS,99709.0,TOM WILLIAMS
SEAPLANE BASE,ANCHORAGE,ANCHORAGE,CAMPBELL LAKE SPB,PUBLIC,CAMPBELL LAKE OWNERS INC,ANCHORAGE,99507.0,DR. JOHN SPARAGA
AIRPORT,BETHEL,AKIAK,AKIAK,PUBLIC,NORTH SLOPE BOROUGH,ANCHORAGE,99519.0,
SEAPLANE BASE,BETHEL,BETHEL,BETHEL,PUBLIC,ALASKA DOT&PF CENTRAL REGION,,,
AIRPORT,UPPER YUKON,BARTER ISLAND LRRS,BARTER ISLAND,PUBLIC,NORTH SLOPE BOROUGH,BARROW,99723.0,TOM NICOLOS
AIRPORT,ANCHORAGE,ANCHORAGE,BOLD,PUBLIC,STATE OF AK DNR,ANCHORAGE,99516.0,"KEITH WILSON, PARK RANGER"
AIRPORT,FAIRBANKS NORTH STAR,BIRCH CREEK,BIRCH CREEK,PUBLIC,ALASKA DOT&PF NORTHERN REGION,FAIRBANKS,99709.0,TOM WILLIAMS
SEAPLANE BASE,BETHEL,AKIACHAK,AKIACHAK,PUBLIC,US FOREST SERVICE,,,
SEAPLANE BASE,MATANUSKA-SUSITNA,BIG LAKE,HORSESHOE LAKE,PRIVATE,WILLIAM L. KRAMER,BIG LAKE,99652.0,
AIRPORT,ANCHORAGE,ANCHORAGE,MERRILL FIELD,PUBLIC,,ANCHORAGE,99501.0,"PAUL BOWERS, A.A.E."
AIRPORT,MATANUSKA-SUSITNA,BIG LAKE,BROWN'S HOMESTEAD,PRIVATE,BILL & KAYLENE BROWN,ANCHORAGE,99516.0,BILL & KAYLENE BROWN
AIRPORT,MATANUSKA-SUSITNA,BIG LAKE,FISHER,PRIVATE,ROBERT B. FISHER,BIG LAKE,99652.0,ROBERT B. FISHER
AIRPORT,UPPER YUKON,ARCTIC VILLAGE,ARCTIC VILLAGE,PUBLIC,VENETIE TRIBAL GOVN,VENETIE,97781.0,
SEAPLANE BASE,WRANGELL-PETERSBURG,BARANOF,BARANOF WARM SPRINGS FLOAT AND SEAPLANE FL,PUBLIC,CITY AND BOROUGH OF SITKA,SITKA,99835.0,HARBORMASTER
AIRPORT,FAIRBANKS NORTH STAR,BLACK RAPIDS,BLACK RAPIDS,PUBLIC,BUREAU OF LAND MGMT,GLENALLEN,99588.0,BRENDA BECKER
SEAPLANE BASE,BRISTOL BAY,ALEKNAGIK,ALEKNAGIK,PUBLIC,,ALEKNAGIK,99555.0,ROLAND OR BEVERLY MOODY
SEAPLANE BASE,BETHEL,BETHEL,HANGAR LAKE,PUBLIC,PUBLIC DOMAIN,,,
AIRPORT,ALEUTIAN ISLANDS,ADAK ISLAND,ADAK,PUBLIC,ALASKA DOT&PF SOUTHCOAST REGION,ANCHORAGE,99519.0,INNOCENT DUSHKIN
AIRPORT,CORDOVA-MCCARTHY,BOSWELL BAY,BOSWELL BAY,PRIVATE,ALASKA DOT&PF SOUTHCOAST REGION,ELMENDORF AFB,99506.0,UNKNOWN
AIRPORT,KENAI-COOK INLET,BELUGA,BELUGA,PRIVATE,"HILCORP ALASKA, LLC",ANCHORAGE,99503.0,"HILCORP ALASKA, LLC"
AIRPORT,ANCHORAGE,ANCHORAGE,CAMPBELL AIRSTRIP,PRIVATE,US BUREAU OF LAND MANAGEMENT,ANCHORAGE,99507.0,
AIRPORT,YUKON-KOYUKUK,BETTLES,BETTLES,PUBLIC,ALASKA DOT&PF NORTHERN REGION,FAIRBANKS,99709.0,TOM WILLIAMS
SEAPLANE BASE,MATANUSKA-SUSITNA,BIG LAKE,BEAVER LAKE,PUBLIC,"STATE OF ALASKA, DNR",ANCHORAGE,99501.0,BILLY CRANFORD
AIRPORT,KUSILVAK,ALAKANUK,ALAKANUK,PUBLIC,ALASKA DOT&PF NORTHERN REGION,FAIRBANKS,99709.0,JOHN WILSON
AIRPORT,,CANTWELL,CANTWELL,PUBLIC,ALASKA DOT&PF SOUTHCOAST REGION,ANCHORAGE,99515.0,RAY ATKINS
AIRPORT,NORTHWEST ARCTIC,AMBLER,AMBLER,PUBLIC,ALASKA DOT&PF NORTHERN REGION,FAIRBANKS,99709.0,ALVIN WERNEKE
AIRPORT,,BIG LAKE,CUBDIVISION,PRIVATE,CUBDIVISION LOT OWNERS,BIG LAKE,99652.0,LEE BUDDE
SEAPLANE BASE,MATANUSKA-SUSITNA,BIG LAKE,WEST BEAVER,PRIVATE,KEN THORALL,WASILLA,99654.0,KEN THORALL
AIRPORT,YUKON-KOYUKUK,AMERICAN CREEK,AMERICAN CREEK,PUBLIC,"DNR-DIV. OF MINING, LAND, WATER",FAIRBANKS,99709.0,
SEAPLANE BASE,ANCHORAGE,ANCHORAGE,LAKE HOOD,PUBLIC,STATE OF ALASKA DOT&PF,ANCHORAGE,99519.0,TIM COONS
AIRPORT,ANCHORAGE,ANCHORAGE,FLYING CROWN,PRIVATE,ALASKA DOT&PF CENTRAL REGION,ANCHORAGE,99515.0,CHARLES FRYER
AIRPORT,BRISTOL BAY,ALEKNAGIK,TRIPOD,PUBLIC,PUBLIC DOMAIN,,,
AIRPORT,SEWARD,ANCHOR POINT,LOWELL FIELD,PRIVATE,DAN PRESLEY,ANCHOR POINT,99556.0,DAN PRESLEY
HELIPORT,ANCHORAGE,ANCHORAGE,ANCHORAGE LOFTS HOTEL HELIPORT,PRIVATE,H.P. HOLDINGS INC.,ANCHORAGE,99501.0,RANDY COMER
SEAPLANE BASE,SKAGWAY-YAKUTAT,BARTLETT COVE,BARTLETT COVE,PUBLIC,NPS GLACIER BAY NATL PARK & PRES,JUNEAU,99801.0,SUPERINTENDANT OF GLACIER BAY
AIRPORT,ANCHORAGE,ANCHORAGE,ELMENDORF AFB,PRIVATE,US AIR FORCE,ELMENDORF AFB,99506.0,AIRFIELD MGR
AIRPORT,ALEUTIAN ISLANDS,AKUTAN,AKUTAN,PUBLIC,FULLER A. COWELL,JUNEAU,99811.0,DALE RUCKMAN
AIRPORT,MATANUSKA-SUSITNA,BIG LAKE,H & H FIELD,PRIVATE,ROBERT HUTCHISON,BIG LAKE,99652.0,ROBERT HUTCHISON
AIRPORT,MATANUSKA-SUSITNA,BIG LAKE,KRAMER,PRIVATE,WILLIAM L. KRAMER,BIG LAKE,99652.0,WILLIAM L. KRAMER
AIRPORT,KODIAK ISLAND,AKHIOK,AKHIOK,PUBLIC,ALASKA DOT&PF SOUTHCOAST REGION,ANCHORAGE,99519.0,ROBERT GREENE
AIRPORT,YUKON-KOYUKUK,ANAKTUVUK PASS,ANAKTUVUK PASS,PUBLIC,NORTH SLOPE BOROUGH,BARROW,99723.0,TOM D. NICOLOS
AIRPORT,MATANUSKA-SUSITNA,BIG LAKE,BIG LAKE,PUBLIC,ALASKA DOT&PF CENTRAL REGION,ANCHORAGE,99519.0,STEVE BANSE
SEAPLANE BASE,ALEUTIAN ISLANDS,BIG LAKE,MARION,PRIVATE,MIKE GRAVES,BIG LAKE,99602.0,MIKE GRAVES
SEAPLANE BASE,ALEUTIAN ISLANDS,AKUTAN,AKUTAN,PUBLIC,CITY OF AKUTAN,AKUTAN,99553.0,JOE BERESKIN
SEAPLANE BASE,MATANUSKA-SUSITNA,BIG LAKE,JONES LANDING,PUBLIC,WILLIAM L. KRAMER,ANCHORAGE,99652.0,ROBERT JONES
AIRPORT,BRISTOL BAY,ALEKNAGIK,ALEKNAGIK /NEW,PUBLIC,ALASKA DOT&PF CENTRAL REGION,ANCHORAGE,99519.0,NORMAN HEYANO
SEAPLANE BASE,MATANUSKA-SUSITNA,BIG LAKE,HAGGARDS LANDING SEAPLANE BASE,PRIVATE,ALASKA DOT&PF CENTRAL REGION,BIG LAKE,99652.0,
AIRPORT,YUKON-KOYUKUK,ALLAKAKET,ALLAKAKET,PUBLIC,ALASKA DOT&PF NORTHERN REGION,FAIRBANKS,99709.0,TOM WILLIAMS
AIRPORT,KUSKOKWIM,ANIAK,ANIAK,PUBLIC,ALASKA DOT&PF CENTRAL REGION,ANCHORAGE,99519.0,RICHARD CILETTI
